institution_id,name,city,township,type,status,website_url,website_state,google_maps_url,google_maps_state,facebook_url,facebook_state,tiktok_url,tiktok_state,verified_platform_count,missing_platforms
1,မြန်မာ့စီးပွားရေးစီမံခန့်ခွဲမှုပညာကောလိပ်,Mandalay,ချမ်းအေးသာစံမြို့နယ်,Private College,MOE listed; official web not yet reviewed,https://mcu.edu.mm/,verified,,missing,https://www.facebook.com/MyanmarCommercialCollege/,verified,,missing,2,"google_maps,tiktok"
10,AUSTON College,Mandalay,ချမ်းမြသာစည်မြို့နယ်,Private College,MOE listed; official web not yet reviewed,https://auston.edu.mm/,verified,,missing,https://www.facebook.com/austoncollege/,verified,https://www.tiktok.com/@auston_college,unverified,2,google_maps
100,Canadian International Centre (CIC),Yangon,ဗဟန်းမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
101,Brighter Star International Centre,Yangon,တောင် ဥက္ကလာပမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
102,BRIGHTWAY Language Center,Yangon,ဗဟန်းမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
103,ဖူဂျီစံ ဂျပန်ဘာသာသင်တန်း,Yangon,ဗဟန်းမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
104,EPDA သင်တန်းကျောင်း,Yangon,ဗဟန်းမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
105,Kumon Learning Centre,Yangon,ဗဟန်းမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
106,4UEPS Korean Language Center,Yangon,တောင်ဥက္ကလာပမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
107,NEWTON INTERNATIONAL CENTRE,Yangon,တောင်ဥက္ကလာပ မြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
108,T & H Maths Centre,Yangon,ဗဟန်းမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
109,Hello Training Japanese Language Center,Yangon,ဗဟန်းမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
11,iNet College,Mandalay,မဟာအောင်မြေမြို့နယ်,Private College,MOE listed; official web not yet reviewed,https://www.inet.edu.mm/,verified,,missing,https://www.facebook.com/iNetCollegeMyanmar/,verified,https://www.tiktok.com/@inetcollege,verified,3,google_maps
110,KATSUKI GAKUEN Japanese Language Training Centre,Yangon,အင်းစိန်မြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
111,ES4E Language and Training Centre,Yangon,သင်္ဃန်းကျွန်းမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
112,EVEREST INTERNATIONAL PRESCHOOL & LEARNING CENTRE,Yangon,တာမွေမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
113,Japan Job School Myanmar (Centre),Yangon,လမ်းမတော်မြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
114,J.I.J Japanese Language Center,Yangon,စမ်းချောင်းမြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
115,ALPS GIKEN ဂျပန်စာသင်တန်း,Yangon,ကမာရွတ်မြို့နယ်,Private Higher Education Centre,MOE listed; official web not yet reviewed,,missing,,missing,,missing,,missing,0,"website,google_maps,facebook,tiktok"
